Code,Description,ISIC Section,ISIC Section Heading,DSI Sector
7320,Market research and public opinion polling,M,"Professional, scientific and technical activities",Exclude DSI
74,"Other professional, scientific and technical activities",M,"Professional, scientific and technical activities",Exclude DSI
741,Specialized design activities,M,"Professional, scientific and technical activities",Exclude DSI
7410,Specialized design activities,M,"Professional, scientific and technical activities",Exclude DSI
742,Photographic activities,M,"Professional, scientific and technical activities",Exclude DSI
7420,Photographic activities,M,"Professional, scientific and technical activities",Exclude DSI
749,"Other professional, scientific and technical activities n.e.c.",M,"Professional, scientific and technical activities",Review DSI
7490,"Other professional, scientific and technical activities n.e.c.",M,"Professional, scientific and technical activities",Review DSI
75,Veterinary activities,M,"Professional, scientific and technical activities",Review DSI
750,Veterinary activities,M,"Professional, scientific and technical activities",Review DSI
7500,Veterinary activities,M,"Professional, scientific and technical activities",Review DSI
77,Rental and leasing activities,N,Administrative and support service activities,Exclude DSI
771,Renting and leasing of motor vehicles,N,Administrative and support service activities,Exclude DSI
7710,Renting and leasing of motor vehicles,N,Administrative and support service activities,Exclude DSI
772,Renting and leasing of personal and household goods,N,Administrative and support service activities,Exclude DSI
7721,Renting and leasing of recreational and sports goods,N,Administrative and support service activities,Exclude DSI
7722,Renting of video tapes and disks,N,Administrative and support service activities,Exclude DSI
7729,Renting and leasing of other personal and household goods,N,Administrative and support service activities,Exclude DSI
773,"Renting and leasing of other machinery, equipment and tangible goods",N,Administrative and support service activities,Exclude DSI
7730,"Renting and leasing of other machinery, equipment and tangible goods",N,Administrative and support service activities,Exclude DSI
774,"Leasing of intellectual property and similar products, except copyrighted works",N,Administrative and support service activities,Exclude DSI
7740,"Leasing of intellectual property and similar products, except copyrighted works",N,Administrative and support service activities,Exclude DSI
78,Employment activities,N,Administrative and support service activities,Exclude DSI
781,Activities of employment placement agencies,N,Administrative and support service activities,Exclude DSI
7810,Activities of employment placement agencies,N,Administrative and support service activities,Exclude DSI
782,Temporary employment agency activities,N,Administrative and support service activities,Exclude DSI
7820,Temporary employment agency activities,N,Administrative and support service activities,Exclude DSI
783,Other human resources provision,N,Administrative and support service activities,Exclude DSI
7830,Other human resources provision,N,Administrative and support service activities,Exclude DSI
79,"Travel agency, tour operator, reservation service and related activities",N,Administrative and support service activities,Exclude DSI
791,Travel agency and tour operator activities,N,Administrative and support service activities,Exclude DSI
7911,Travel agency activities,N,Administrative and support service activities,Exclude DSI
7912,Tour operator activities,N,Administrative and support service activities,Exclude DSI
799,Other reservation service and related activities,N,Administrative and support service activities,Exclude DSI
7990,Other reservation service and related activities,N,Administrative and support service activities,Exclude DSI
80,Security and investigation activities,N,Administrative and support service activities,Exclude DSI
801,Private security activities,N,Administrative and support service activities,Exclude DSI
8010,Private security activities,N,Administrative and support service activities,Exclude DSI
802,Security systems service activities,N,Administrative and support service activities,Exclude DSI
8020,Security systems service activities,N,Administrative and support service activities,Exclude DSI
803,Investigation activities,N,Administrative and support service activities,Exclude DSI
8030,Investigation activities,N,Administrative and support service activities,Exclude DSI
81,Services to buildings and landscape activities,N,Administrative and support service activities,Exclude DSI
811,Combined facilities support activities,N,Administrative and support service activities,Exclude DSI
8110,Combined facilities support activities,N,Administrative and support service activities,Exclude DSI
812,Cleaning activities,N,Administrative and support service activities,Exclude DSI
8121,General cleaning of buildings,N,Administrative and support service activities,Exclude DSI
8129,Other building and industrial cleaning activities,N,Administrative and support service activities,Exclude DSI
813,Landscape care and maintenance service activities,N,Administrative and support service activities,Exclude DSI
8130,Landscape care and maintenance service activities,N,Administrative and support service activities,Exclude DSI
82,"Office administrative, office support and other business support activities",N,Administrative and support service activities,Exclude DSI
821,Office administrative and support activities,N,Administrative and support service activities,Exclude DSI
8211,Combined office administrative service activities,N,Administrative and support service activities,Exclude DSI
8219,"Photocopying, document preparation and other specialized office support activities",N,Administrative and support service activities,Exclude DSI
822,Activities of call centres,N,Administrative and support service activities,Exclude DSI
8220,Activities of call centres,N,Administrative and support service activities,Exclude DSI
823,Organization of conventions and trade shows,N,Administrative and support service activities,Exclude DSI
8230,Organization of conventions and trade shows,N,Administrative and support service activities,Exclude DSI
829,Business support service activities n.e.c.,N,Administrative and support service activities,Exclude DSI
8291,Activities of collection agencies and credit bureaus,N,Administrative and support service activities,Exclude DSI
8292,Packaging activities,N,Administrative and support service activities,Exclude DSI
8299,Other business support service activities n.e.c.,N,Administrative and support service activities,Exclude DSI
84,Public administration and defence; compulsory social security,O,Public administration and defence; compulsory social security,Exclude DSI
841,Administration of the State and the economic and social policy of the community,O,Public administration and defence; compulsory social security,Exclude DSI
8411,General public administration activities,O,Public administration and defence; compulsory social security,Exclude DSI
8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,Public administration and defence; compulsory social security,Exclude DSI
8413,Regulation of and contribution to more efficient operation of businesses,O,Public administration and defence; compulsory social security,Exclude DSI
842,Provision of services to the community as a whole,O,Public administration and defence; compulsory social security,Exclude DSI
8421,Foreign affairs,O,Public administration and defence; compulsory social security,Exclude DSI
8422,Defence activities,O,Public administration and defence; compulsory social security,Exclude DSI
8423,Public order and safety activities,O,Public administration and defence; compulsory social security,Exclude DSI
843,Compulsory social security activities,O,Public administration and defence; compulsory social security,Exclude DSI
8430,Compulsory social security activities,O,Public administration and defence; compulsory social security,Exclude DSI
85,Education,P,Education,Exclude DSI
851,Pre-primary and primary education,P,Education,Exclude DSI
8510,Pre-primary and primary education,P,Education,Exclude DSI
852,Secondary education,P,Education,Exclude DSI
8521,General secondary education,P,Education,Exclude DSI
8522,Technical and vocational secondary education,P,Education,Exclude DSI
853,Higher education,P,Education,Exclude DSI
8530,Higher education,P,Education,Exclude DSI
854,Other education,P,Education,Exclude DSI
8541,Sports and recreation education,P,Education,Exclude DSI
8542,Cultural education,P,Education,Exclude DSI
8549,Other education n.e.c.,P,Education,Exclude DSI
855,Educational support activities,P,Education,Exclude DSI
8550,Educational support activities,P,Education,Exclude DSI
86,Human health activities,Q,Human health and social work activities,Exclude DSI
861,Hospital activities,Q,Human health and social work activities,Exclude DSI
8610,Hospital activities,Q,Human health and social work activities,Exclude DSI
862,Medical and dental practice activities,Q,Human health and social work activities,Exclude DSI
8620,Medical and dental practice activities,Q,Human health and social work activities,Exclude DSI
869,Other human health activities,Q,Human health and social work activities,Exclude DSI
8690,Other human health activities,Q,Human health and social work activities,Exclude DSI
87,Residential care activities,Q,Human health and social work activities,Exclude DSI
871,Residential nursing care facilities,Q,Human health and social work activities,Exclude DSI
8710,Residential nursing care facilities,Q,Human health and social work activities,Exclude DSI
872,"Residential care activities for mental retardation, mental health and substance abuse",Q,Human health and social work activities,Exclude DSI
8720,"Residential care activities for mental retardation, mental health and substance abuse",Q,Human health and social work activities,Exclude DSI
873,Residential care activities for the elderly and disabled,Q,Human health and social work activities,Exclude DSI
8730,Residential care activities for the elderly and disabled,Q,Human health and social work activities,Exclude DSI
879,Other residential care activities,Q,Human health and social work activities,Exclude DSI
8790,Other residential care activities,Q,Human health and social work activities,Exclude DSI
88,Social work activities without accommodation,Q,Human health and social work activities,Exclude DSI
881,Social work activities without accommodation for the elderly and disabled,Q,Human health and social work activities,Exclude DSI
8810,Social work activities without accommodation for the elderly and disabled,Q,Human health and social work activities,Exclude DSI
889,Other social work activities without accommodation,Q,Human health and social work activities,Exclude DSI
8890,Other social work activities without accommodation,Q,Human health and social work activities,Exclude DSI
90,"Creative, arts and entertainment activities",R,"Arts, entertainment and recreation",Exclude DSI
900,"Creative, arts and entertainment activities",R,"Arts, entertainment and recreation",Exclude DSI
9000,"Creative, arts and entertainment activities",R,"Arts, entertainment and recreation",Exclude DSI
91,"Libraries, archives, museums and other cultural activities",R,"Arts, entertainment and recreation",Exclude DSI
910,"Libraries, archives, museums and other cultural activities",R,"Arts, entertainment and recreation",Exclude DSI
9101,Library and archives activities,R,"Arts, entertainment and recreation",Exclude DSI
9102,Museums activities and operation of historical sites and buildings,R,"Arts, entertainment and recreation",Exclude DSI
9103,Botanical and zoological gardens and nature reserves activities,R,"Arts, entertainment and recreation",Exclude DSI
92,Gambling and betting activities,R,"Arts, entertainment and recreation",Exclude DSI
920,Gambling and betting activities,R,"Arts, entertainment and recreation",Exclude DSI
9200,Gambling and betting activities,R,"Arts, entertainment and recreation",Exclude DSI
93,Sports activities and amusement and recreation activities,R,"Arts, entertainment and recreation",Exclude DSI
931,Sports activities,R,"Arts, entertainment and recreation",Exclude DSI
9311,Operation of sports facilities,R,"Arts, entertainment and recreation",Exclude DSI
9312,Activities of sports clubs,R,"Arts, entertainment and recreation",Exclude DSI
9319,Other sports activities,R,"Arts, entertainment and recreation",Exclude DSI
932,Other amusement and recreation activities,R,"Arts, entertainment and recreation",Exclude DSI
9321,Activities of amusement parks and theme parks,R,"Arts, entertainment and recreation",Exclude DSI
9329,Other amusement and recreation activities n.e.c.,R,"Arts, entertainment and recreation",Exclude DSI
94,Activities of membership organizations,S,Other service activities,Exclude DSI
941,"Activities of business, employers and professional membership organizations",S,Other service activities,Exclude DSI
9411,Activities of business and employers membership organizations,S,Other service activities,Exclude DSI
9412,Activities of professional membership organizations,S,Other service activities,Exclude DSI
942,Activities of trade unions,S,Other service activities,Exclude DSI
9420,Activities of trade unions,S,Other service activities,Exclude DSI
949,Activities of other membership organizations,S,Other service activities,Exclude DSI
9491,Activities of religious organizations,S,Other service activities,Exclude DSI
9492,Activities of political organizations,S,Other service activities,Exclude DSI
9499,Activities of other membership organizations n.e.c.,S,Other service activities,Exclude DSI
95,Repair of computers and personal and household goods,S,Other service activities,Exclude DSI
951,Repair of computers and communication equipment,S,Other service activities,Exclude DSI
9511,Repair of computers and peripheral equipment,S,Other service activities,Exclude DSI
9512,Repair of communication equipment,S,Other service activities,Exclude DSI
952,Repair of personal and household goods,S,Other service activities,Exclude DSI
9521,Repair of consumer electronics,S,Other service activities,Exclude DSI
9522,Repair of household appliances and home and garden equipment,S,Other service activities,Exclude DSI
9523,Repair of footwear and leather goods,S,Other service activities,Exclude DSI
9524,Repair of furniture and home furnishings,S,Other service activities,Exclude DSI
9529,Repair of other personal and household goods,S,Other service activities,Exclude DSI
96,Other personal service activities,S,Other service activities,Exclude DSI
960,Other personal service activities,S,Other service activities,Exclude DSI
9601,Washing and (dry-) cleaning of textile and fur products,S,Other service activities,Exclude DSI
9602,Hairdressing and other beauty treatment,S,Other service activities,Exclude DSI
9603,Funeral and related activities,S,Other service activities,Exclude DSI
9609,Other personal service activities n.e.c.,S,Other service activities,Exclude DSI
97,Activities of households as employers of domestic personnel,T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Exclude DSI
970,Activities of households as employers of domestic personnel,T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Exclude DSI
9700,Activities of households as employers of domestic personnel,T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Exclude DSI
98,Undifferentiated goods- and services-producing activities of private households for own use,T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Exclude DSI
981,Undifferentiated goods-producing activities of private households for own use,T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Exclude DSI
9810,Undifferentiated goods-producing activities of private households for own use,T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Exclude DSI
982,Undifferentiated service-producing activities of private households for own use,T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Exclude DSI
9820,Undifferentiated service-producing activities of private households for own use,T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Exclude DSI
99,Activities of extraterritorial organizations and bodies,U,Activities of extraterritorial organizations and bodies,Exclude DSI
990,Activities of extraterritorial organizations and bodies,U,Activities of extraterritorial organizations and bodies,Exclude DSI
9900,Activities of extraterritorial organizations and bodies,U,Activities of extraterritorial organizations and bodies,Exclude DSI
